	Feature	value
9434	in_APPR__Bezug_NN__auf_APPR	-0.008504273732208495
5138	der_ART__vorliegenden_ADJA__Arbeit_NN	-0.006250688278114216
9873	in_APPR__der_ART__Regel_NN	-0.005602281325472686
266	Bezug_NN__auf_APPR__die_ART	-0.005546575670184336
9167	im_APPRART__Hinblick_NN__auf_APPR	-0.005201474020041789
2383	auf_APPR__diese_PDAT__Weise_NN	0.005014415020746687
10018	in_APPR__der_ART__vorliegenden_ADJA	-0.00463155367592295
9210	im_APPRART__Rahmen_NN__der_ART	-0.004552079037160665
8241	es_PPER__sich_PRF__um_APPR	-0.004419480917954817
8858	handelt_VVFIN__es_PPER__sich_PRF	-0.004306233129236568
4722	der_ART__Neuen_ADJA__Sachlichkeit_NN	0.003737422309783064
9254	im_APPRART__Vergleich_NN__zu_APPR	-0.00357599487596789
10158	in_APPR__dieser_PDAT__Arbeit_NN	-0.003388205222634073
5678	die_ART__Ergebnisse_NN__der_ART	-0.0033837888804563185
4929	der_ART__Weimarer_ADJA__Republik_NN	0.00337294210157106
8226	es_PPER__sich_PRF__bei_APPR	-0.003086331244511945
9776	in_APPR__der_ART__DDR_NE	0.0029977375457513646
1772	an_APPR__dieser_PDAT__Stelle_NN	0.0029377767029166073
1246	[_NN__n_XY__]_XY	0.0027529659377584495
5141	der_ART__vorliegenden_ADJA__Untersuchung_NN	-0.002713514712329397
575	Hinblick_NN__auf_APPR__die_ART	-0.0026653745901787
292	Blick_NN__auf_APPR__die_ART	0.0026071229116188055
11378	mit_APPR__Blick_NN__auf_APPR	0.0025798811951757775
850	Rahmen_NN__der_ART__vorliegenden_ADJA	-0.0025742143379418347
9842	in_APPR__der_ART__Lage_NN	0.0025346420844201602
8118	es_PPER__handelt_VVFIN__sich_PRF	-0.0024998566198425123
10126	in_APPR__diesem_PDAT__Fall_NN	-0.0023872468457985475
9110	im_APPRART__Bereich_NN__der_ART	-0.0023655607039025886
8563	für_APPR__die_ART__vorliegende_ADJA	-0.0023554182307750373
11966	nicht_PTKNEG__nur_ADV__die_ART	0.0023490643424429834
5268	des_ART__18._ADJA__Jahrhunderts_NN	0.002325596182547147
3660	dass_KOUS__sich_PRF__die_ART	-0.002319692740797059
5269	des_ART__19._ADJA__Jahrhunderts_NN	0.002305684688481609
5445	die_ART__Anzahl_NN__der_ART	-0.002298014968239604
1662	am_APPRART__Ende_NN__des_ART	0.0022853908145803545
9212	im_APPRART__Rahmen_NN__dieser_PDAT	-0.0022755415750555703
4585	der_ART__Gruppe_NN__der_ART	-0.002210488242282847
12633	sich_PRF__auf_APPR__die_ART	-0.0022085130211089783
6224	die_ART__Verwendung_NN__von_APPR	-0.002182277359221919
12871	sich_PRF__in_APPR__der_ART	0.0021401432280325006
10295	in_APPR__erster_ADJA__Linie_NN	0.0021392517685320297
6464	die_ART__vorliegende_ADJA__Arbeit_NN	-0.0020666677072496364
9665	in_APPR__den_ART__Wörterbüchern_NN	-0.0020598502633893266
10130	in_APPR__diesem_PDAT__Kapitel_NN	-0.0020036813539609398
4995	der_ART__deutschen_ADJA__Sprache_NN	-0.0019811264502115006
12994	sich_PRF__selbst_ADV__und_KON	0.001955369846738873
9805	in_APPR__der_ART__Gegenwart_NN	0.001946203387991093
13807	unabhängig_ADJD__von_APPR__der_ART	-0.0019057474171665391
10802	ist_VAFIN__in_APPR__der_ART	-0.0018759742307349943
10136	in_APPR__diesem_PDAT__Roman_NN	0.001853237683134996
16384	Überblick_NN__über_APPR__die_ART	-0.0018441873279202163
8465	für_APPR__die_ART__Erfassung_NN	-0.0017577506947857602
9452	in_APPR__Form_NN__von_APPR	-0.0017457362627283492
4288	der_ART__Anteil_NN__der_ART	-0.0017372848622714927
10152	in_APPR__diesen_PDAT__Fällen_NN	-0.0017343236706072668
9817	in_APPR__der_ART__Gruppe_NN	-0.001729445986676847
10139	in_APPR__diesem_PDAT__Sinne_NN	0.0017279965552577934
4483	der_ART__Fall_NN__ist_VAFIN	-0.0016967548609675262
3235	das_ART__Motiv_NN__der_ART	0.0016900141867680501
851	Rahmen_NN__dieser_PDAT__Arbeit_NN	-0.0016612968128277223
5948	die_ART__Menge_NN__der_ART	-0.0016584601678530544
9845	in_APPR__der_ART__Linguistik_NN	-0.0016254913420098724
14957	vor_APPR__allem_PIS__im_APPRART	-0.0015950475025892433
6720	die_PRELS__sich_PRF__auf_APPR	-0.0015938787314198274
14244	und_KON__in_APPR__der_ART	0.0015932004140426365
3573	dass_KOUS__er_PPER__sich_PRF	0.0015890822097328532
15218	werden_VAFIN__in_APPR__der_ART	-0.0015848209435478712
9925	in_APPR__der_ART__Zeit_NN	0.0015766436637538591
9591	in_APPR__dem_PRELS__sich_PRF	0.0015516025714159198
5991	die_ART__Neue_ADJA__Sachlichkeit_NN	0.0015510626031988756
3340	das_ART__lyrische_ADJA__Ich_PPER	0.0015450270919056114
1547	als_KOKOM__in_APPR__der_ART	-0.0015380261639046011
5826	die_ART__Gruppe_NN__der_ART	-0.0015370363858472267
5054	der_ART__gesprochenen_ADJA__Sprache_NN	-0.0015288000308552056
14977	vor_APPR__dem_ART__Hintergrund_NN	-0.0015280789182113665
2440	auf_APPR__sich_PRF__selbst_ADV	0.001523735346266638
9641	in_APPR__den_ART__Mittelpunkt_NN	0.001517363080324525
7408	eine_ART__Reihe_NN__von_APPR	-0.0015134993750200683
15968	zu_APPR__sich_PRF__selbst_ADV	0.0015119206521183523
9810	in_APPR__der_ART__Gesellschaft_NN	0.0015080440471100201
6606	die_PRELS__für_APPR__die_ART	-0.0014835402225822187
9625	in_APPR__den_ART__Gedichten_NN	0.0014776981656226527
1076	Vergleich_NN__zu_APPR__den_ART	-0.0014632914009507694
11953	nicht_PTKNEG__nur_ADV__als_APPR	0.0014595946235457955
12291	ob_KOUS__es_PPER__sich_PRF	-0.0014507822991122515
9231	im_APPRART__Sinne_NN__von_APPR	-0.0014404799527755192
4491	der_ART__Figur_NN__des_ART	0.0014207672628015148
4763	der_ART__Regel_NN__in_APPR	-0.0013945421218600554
9095	im_APPRART__18._ADJA__Jahrhundert_NN	0.0013925813418218867
8373	für_APPR__das_ART__Deutsche_NN	-0.0013840175054543615
12921	sich_PRF__mit_APPR__dem_ART	0.0013817831665608768
7624	einen_ART__Überblick_NN__über_APPR	-0.0013761946165002578
12996	sich_PRF__selbst_ADV__zu_PTKZU	0.0013731631533538556
5717	die_ART__Figur_NN__des_ART	0.0013712133090040047
3236	das_ART__Motiv_NN__des_ART	0.0013630404698531003
8728	gemessen_VVPP__an_APPR__der_ART	-0.0013624914894169258
6214	die_ART__Verteilung_NN__der_ART	-0.0013607582450206005
6078	die_ART__Rolle_NN__des_ART	0.0013540877671014623
16173	zum_APPRART__Zeitpunkt_NN__der_ART	-0.0013487956042135916
9793	in_APPR__der_ART__Figur_NN	0.0013479175452349012
2187	auf_APPR__der_ART__Bühne_NN	0.0013452744465631313
356	Einfluss_NN__auf_APPR__die_ART	-0.0013448904717593077
13912	und_KON__damit_PROAV__die_ART	0.0013374002725960856
9330	im_APPRART__nächsten_ADJA__Kapitel_NN	-0.0013310111448062137
8438	für_APPR__die_ART__Analyse_NN	-0.0012965791068841636
1873	auch_ADV__bei_APPR__der_ART	-0.0012950871682656643
10208	in_APPR__einem_ART__Brief_NN	0.0012830793319057476
10382	in_APPR__seinem_PPOSAT__Werk_NN	0.0012804448446666228
6220	die_ART__Verwendung_NN__des_ART	-0.0012784948526598865
6219	die_ART__Verwendung_NN__der_ART	-0.0012708839812005288
9901	in_APPR__der_ART__Tabelle_NN	-0.0012702880519789917
11442	mit_APPR__dem_ART__Verb_NN	-0.0012659344167532053
12710	sich_PRF__das_ART__Ich_PPER	0.0012643704241914082
6467	die_ART__vorliegende_ADJA__Untersuchung_NN	-0.0012612621506831922
9151	im_APPRART__Folgenden_NN__werden_VAFIN	-0.0012436882846672615
5286	des_ART__Ersten_ADJA__Weltkrieges_NN	0.001236198903002831
12660	sich_PRF__bei_APPR__den_ART	-0.0012339599611424304
3605	dass_KOUS__es_PPER__sich_PRF	-0.0012313540559564721
9920	in_APPR__der_ART__Welt_NN	0.0012264511545498815
6277	die_ART__Zahl_NN__der_ART	-0.001221221419912124
8019	erweist_VVFIN__sich_PRF__als_APPR	0.0012199369689544404
9586	in_APPR__dem_PRELS__er_PPER	0.00121781259613165
2675	bei_APPR__der_ART__Analyse_NN	-0.0012075271013362204
11377	mit_APPR__Bezug_NN__auf_APPR	-0.0012023045511577477
5140	der_ART__vorliegenden_ADJA__Studie_NN	-0.0012007704617868005
13027	sich_PRF__von_APPR__der_ART	0.0012000326985649
10037	in_APPR__der_PRELS__er_PPER	0.0011915890927597069
9559	in_APPR__dem_ART__Moment_NN	0.001189346937001901
872	Regeln_NN__für_APPR__die_ART	-0.0011874047262722986
9582	in_APPR__dem_PRELS__die_ART	0.0011848914218633073
16121	zum_APPRART__Ausdruck_NN__gebracht_VVPP	0.001184813398635019
10041	in_APPR__der_PRELS__sich_PRF	0.001178269334213711
